,name,info,multi_race,asian,hispanic,black,white,native_american
0,Har Gobind Khorana, Nobel Prize in Medicine,0.01,69.32,0.14,0.12,30.39,0.02
1,Subramanyan Chandrasekhar, Nobel Prize for Physics,0.01,99.59,0.02,0,0.37,0
2,Amartya Sen, Nobel Memorial Prize in Economic Sciences in 1998; Professor of Economics and Philosophy at Harvard University,0.14,98.76,0.02,0.01,1.07,0.01
3,Venkatraman Ramakrishnan, Nobel Prize in Chemistry,0.03,99.95,0,0,0.02,0
4,Rakesh Khurana, Dean of Harvard College,0.08,99.78,0,0,0.13,0
5,Jamshed Bharucha, President Emeritus of Cooper Union,0.5,98.75,0.01,0.02,0.71,0.02
6,Vijay K. Dhir, Dean of the UCLA Henry Samueli School of Engineering and Applied Science,0.07,99.73,0.01,0.01,0.16,0.02
7,Dinesh D'Souza, Former president of The King's College,0,82.84,0.03,0.46,16.67,0
8,Anjli Jain, Executive Director of CampusEAI Consortium,0.07,99.67,0.01,0,0.25,0
9,Dipak C. Jain, Dean of INSEAD and former Dean of the Kellogg School of Management at Northwestern University,0.06,99.72,0,0,0.21,0
10,Vistasp Karbhari, President of the University of Texas at Arlington,0,66.75,0.17,0.13,32.94,0.01
11,Pramod Khargonekar, control theorist; Dean and Eckis Professor,0.47,61.52,1.15,1.11,35.51,0.23
12,Renu Khator, Chancellor of the University of Houston System and President of the University of Houston,0.01,97.33,0.02,0.02,2.63,0
13,Pradeep Khosla, Chancellor of the University of California,0.24,99.43,0.01,0,0.32,0.01
14,Vijay Kumar, Associate Dean of School of Engineering and Applied Science at the University of Pennsylvania,0.19,99.62,0.01,0,0.17,0.01
15,Geeta Menon, Dean of the Undergraduate College at New York University Stern School of Business,0.12,99.53,0.01,0,0.33,0.01
16,Nitin Nohria, Dean of Harvard Business School,0.24,40.82,0.99,2.26,55.58,0.12
17,Sethuraman Panchanathan, Executive Vice President and Chief Research and Innovation Officer at Arizona State University,0.01,94.31,0.07,0.02,5.59,0
18,Michael Rao, President of Virginia Commonwealth University,0.18,49.96,0.3,0.25,49.24,0.07
19,Beheruz Sethna, President of the University of West Georgia,0.36,64.37,0.83,0.64,33.77,0.03
20,Paul Shrivastava, Distinguished Professor and Director,0.21,84.32,0.19,0.23,15.02,0.03
21,Molly Easo Smith, President of Manhattanville College,0.05,0.12,0.19,5.24,94.23,0.17
22,Kumble R. Subbaswamy, Chancellor of the University of Massachusetts Amherst,0.08,14.59,4.24,3.15,77.77,0.16
23,Subra Suresh, President of Carnegie Mellon University,0,99.74,0,0,0.25,0
24,Satish K. Tripathi, President of University at Buffalo,0.1,99.8,0.01,0,0.08,0.01
25,Sundaraja Sitharama Iyengar, Ryder Professor of Computer Science and Director of the School of Computing and Information Sciences at Florida International University,0.2,95.47,0.1,0.07,4.15,0.01
26,S. Shankar Sastry, Dean of the UC Berkeley College of Engineering,0,69.34,0.17,3.71,26.78,0
27,Shreeram Shankar Abhyankar, mathematician,0,99.54,0,0,0.46,0
